Date,Close/Last,Volume,Open,High,Low
09/12/2022,$297.54,3632935,$300.8,$302.83,$296.35
09/09/2022,$299.77,2769929,$299.48,$302.49,$298.33
09/08/2022,$299.9,2703239,$296,$300.1899,$294.54
09/07/2022,$297.47,3016015,$290.44,$297.7,$290.3
09/06/2022,$289.54,4109969,$293.22,$294.5,$287.26
09/02/2022,$291.9,2753601,$296.11,$296.8,$290.1217
09/01/2022,$293.37,3742451,$288.4,$293.58,$286.72
08/31/2022,$288.42,4376169,$292.01,$292.468,$288.28
08/30/2022,$293.1,2892427,$298.56,$299.9,$291.67
08/29/2022,$296.32,2711751,$296.57,$299.71,$294.29
08/26/2022,$298.1,3315542,$310.3,$311.505,$298.02
08/25/2022,$309.78,2529669,$308.64,$309.96,$305.83
08/24/2022,$308.11,2495587,$305.05,$309.98,$303.55
08/23/2022,$306.9,3317535,$311.21,$311.515,$305.64
08/22/2022,$312.21,3144240,$318.09,$319.74,$311.71
08/19/2022,$321.32,3489092,$324.97,$326.32,$319.775
08/18/2022,$325.21,2899614,$324.96,$327.9399,$322.22
08/17/2022,$325.76,3162612,$328.09,$329.5,$324.07
08/16/2022,$327.38,10089760,$312.98,$332.98,$312.88
08/15/2022,$314.61,3917318,$312.04,$315.76,$310.15
08/12/2022,$314.89,2273796,$312.61,$314.93,$310.18
08/11/2022,$310.69,2444200,$313.84,$314.62,$309.58
08/10/2022,$311.58,3863371,$309.5,$312.98,$309.05
08/09/2022,$305.21,2607007,$308.89,$309.959,$303.31
08/08/2022,$311.97,2505344,$311.86,$315.8,$310.44
08/05/2022,$309.69,2029298,$305.38,$309.78,$304.495
08/04/2022,$307.17,2718383,$304.54,$309.97,$304.44
08/03/2022,$306.37,3329353,$303.35,$308.07,$300.34
08/02/2022,$300.71,3091035,$305.4,$305.61,$300.01
08/01/2022,$305.82,3303894,$300.64,$308.45,$300.01
07/29/2022,$300.94,3236036,$300,$301.435,$297.43
07/28/2022,$299.63,3992053,$295,$301.24,$293.165
07/27/2022,$298.91,3219621,$298.21,$300.31,$291.79
07/26/2022,$298.18,2690206,$297,$300.635,$295.91
07/25/2022,$306.15,1910480,$306.8,$307.4299,$303.83
07/22/2022,$306.59,2391540,$307.66,$310.67,$304.3609
07/21/2022,$305,1965036,$302.85,$305.25,$298.87
07/20/2022,$302.3,2533412,$300.93,$303.69,$298.28
07/19/2022,$299.83,2614945,$295.44,$300.01,$293.3101
07/18/2022,$293.05,2664016,$297.25,$298.49,$292
07/15/2022,$292.41,2647191,$294.81,$295.4522,$290.95
07/14/2022,$289.48,2822219,$281.85,$290.29,$281.65
07/13/2022,$287.18,2941558,$281.63,$289.79,$279.76
07/12/2022,$285.12,2696086,$288.97,$293.6423,$283.4101
07/11/2022,$286.39,2453278,$285.18,$289.59,$285.14
07/08/2022,$286.47,1890962,$285.99,$287.99,$283.91
07/07/2022,$286.69,3133933,$282.84,$286.97,$281.45
07/06/2022,$283.58,2206112,$284.99,$285.9212,$280.52
07/05/2022,$283.73,3241987,$275.5,$283.73,$275.03
07/01/2022,$279.08,2818310,$275.73,$280.75,$274.55
06/30/2022,$274.27,4057969,$270.73,$277.04,$268.04
06/29/2022,$273.87,2460462,$271.58,$276.16,$268.805
06/28/2022,$270.15,4068691,$283.78,$285.6,$269.82
06/27/2022,$282.69,2538618,$284.46,$285,$281.49
06/24/2022,$283,10310740,$277.47,$283.46,$273.92
06/23/2022,$275.42,3747525,$270,$275.59,$269.89
06/22/2022,$268.98,4679513,$266.39,$271.77,$264.51
06/21/2022,$269.2,5498444,$273.69,$273.92,$267.42
06/17/2022,$270.73,10775630,$271,$276.62,$270.39
06/16/2022,$273.46,6181025,$274.92,$276.1084,$269.73
06/15/2022,$279.73,4050378,$281,$283.59,$275.47
06/14/2022,$278.67,3986997,$283.21,$286.3803,$276.59
06/13/2022,$283.16,4704607,$284.36,$286.82,$281.2801
06/10/2022,$289.24,4625619,$291.5,$296.5,$288.64
06/09/2022,$299.86,4170367,$297.76,$306.88,$297.35
06/08/2022,$297.53,3003115,$299.78,$300.58,$295.6823
06/07/2022,$301.77,3547797,$295.06,$302.38,$292.6
06/06/2022,$303.89,2562003,$305.56,$307.613,$303.25
06/03/2022,$305.08,2956559,$303.33,$308.46,$301.9
06/02/2022,$305.87,4086408,$298.81,$306.03,$295.8933
06/01/2022,$297.19,3080760,$301.74,$302.98,$297.03
05/31/2022,$302.75,5966574,$306.6,$307.8659,$300.83
05/27/2022,$308.46,3899284,$303.54,$308.5,$301.6032
05/26/2022,$302.81,4170801,$297.32,$305.63,$297
05/25/2022,$293.57,4612940,$285.81,$295.49,$285.66
05/24/2022,$287.92,4241931,$284,$289.32,$280.65
05/23/2022,$286.03,4305632,$289.09,$290.34,$280.32
05/20/2022,$287.19,5621770,$289.82,$290.5,$279.59
05/19/2022,$287.76,5211530,$285.5,$292.5,$284.96
05/18/2022,$285.18,7799541,$293,$295.44,$281.1801
05/17/2022,$300.95,12425880,$306.5,$310.94,$290.9
05/16/2022,$295.99,4267850,$294.08,$299.57,$289.79
05/13/2022,$296.03,3949134,$289.95,$299.415,$288.45
05/12/2022,$289.69,4447676,$281.57,$293.1806,$280.63
05/11/2022,$282.96,3880469,$291.45,$293.33,$282.57
05/10/2022,$291.16,4392900,$298.46,$301.07,$287.664
05/09/2022,$297.03,5243628,$290.28,$300.74,$288.5
05/06/2022,$294.31,4325343,$296.3,$296.75,$289.41
05/05/2022,$299.11,4959610,$311,$311.36,$293.71
05/04/2022,$315.31,4021309,$304.08,$315.75,$302.93
05/03/2022,$304.96,3336636,$305.69,$309,$303.02
05/02/2022,$306.97,4233870,$301.99,$308.79,$299.91
04/29/2022,$300.4,4878169,$308.15,$311.72,$299.71
04/28/2022,$311.76,4151717,$304.75,$314.535,$303.01
04/27/2022,$301.6,3446242,$301.3,$306.42,$299.12
04/26/2022,$299.96,3415244,$302.25,$307.56,$299.72
04/25/2022,$304.94,4396905,$300,$305.16,$296.27
04/22/2022,$300.11,4043169,$309.82,$309.82,$299.78
04/21/2022,$310.36,3014188,$317,$318.4,$309.74
04/20/2022,$315.14,4720754,$311,$316.1,$309.75
04/19/2022,$307.8,3389701,$300.61,$308.13,$299.81
04/18/2022,$300.21,3192413,$303,$306.29,$298.72
04/14/2022,$304.52,4569196,$310.83,$312.25,$304.33
04/13/2022,$310.42,3185296,$306.11,$311.7,$305.72
04/12/2022,$306.29,4122551,$309.44,$313.285,$305.1
04/11/2022,$306.72,4100561,$307.81,$314.17,$305.93
04/08/2022,$311.11,5741921,$301.46,$312.29,$301.28
04/07/2022,$302.75,5241024,$296.79,$304.59,$293.5901
04/06/2022,$298.54,6499947,$298.09,$300.66,$294.99
04/05/2022,$304.86,4376138,$306.26,$309.1,$302.21
04/04/2022,$305.58,4665847,$301.49,$306.48,$299.57
04/01/2022,$301.89,5554611,$300.5,$303.37,$298.9
03/31/2022,$299.33,11044640,$306.21,$307.96,$298.89
03/30/2022,$308.46,7223830,$313.11,$315.24,$306.1
03/29/2022,$317.71,5306131,$316.91,$321,$312.915
03/28/2022,$314.28,3936640,$311,$314.35,$309.23
03/25/2022,$310.68,5177998,$318.48,$318.8,$308.3
03/24/2022,$315.78,4599930,$317.15,$319.4,$314.3
03/23/2022,$317.05,5207746,$326.9,$328.19,$315.85
03/22/2022,$329.73,4852801,$329.32,$331.3,$324.01
03/21/2022,$329.37,4521212,$338.04,$340.69,$327.08
03/18/2022,$340.74,9409577,$333.63,$340.74,$332.305
03/17/2022,$336.36,3123210,$329.14,$336.36,$327.84
03/16/2022,$330.91,3942427,$331.58,$333.95,$324.23
03/15/2022,$328.54,3775297,$320.35,$330.18,$320.33
03/14/2022,$318.36,3604268,$322.91,$324,$316.21
03/11/2022,$316.79,2973298,$319.28,$321.794,$316.23
03/10/2022,$317.94,3895211,$314.36,$318.26,$308.7507
03/09/2022,$317.2,4443609,$320,$322.46,$316.92
03/08/2022,$316.74,5092527,$319.75,$328.49,$315.95
03/07/2022,$322.77,4669950,$324.26,$329.6,$320.11
03/04/2022,$324.26,3631653,$322.21,$326.66,$319.51
03/03/2022,$324.36,3858439,$329.19,$330.68,$322.835
03/02/2022,$327.37,5645611,$321.06,$331.19,$319.68
03/01/2022,$320.25,5640906,$314.59,$322.43,$313.755
02/28/2022,$315.83,5735147,$312.97,$316.0799,$310.475
02/25/2022,$316.65,6510600,$313.18,$317.4445,$307.565
02/24/2022,$313.24,8416724,$300,$313.4393,$299.29
02/23/2022,$308.45,11026040,$319.32,$320.4,$307.1
02/22/2022,$316.17,19752820,$335.09,$336.69,$312.35
02/18/2022,$346.87,5526133,$348.39,$350.6,$344.1
02/17/2022,$347.94,3926974,$348.99,$352.31,$347.39
02/16/2022,$350.09,3594853,$351.5,$352.86,$345.72
02/15/2022,$353.26,3552864,$355.56,$357.42,$351.38
02/14/2022,$351.56,3654274,$348,$352.91,$346.83
02/11/2022,$350.29,3308671,$354.69,$357.34,$348.5636
